,,Deck,Share,Score,Win %
,15,Umbreon Urshifu,25.42%,22 - 44 - 2,32.35%
,9,Calyrex Inteleon,15.25%,36 - 24 - 2,58.06%
,8,Suicune Ludicolo,13.56%,20 - 22 - 4,43.48%
,7,Leafeon Inteleon,11.86%,21 - 20 - 1,50.00%
,5,Jolteon Inteleon,8.47%,15 - 13 - 1,51.72%
,5,Dragapult Inteleon,8.47%,19 - 12 - 3,55.88%
,4,Urshifu Inteleon,6.78%,9 - 12 - 1,40.91%
,2,Sylveon,3.39%,9 - 5 - 0,64.29%
,1,Vaporeon Inteleon,1.69%,3 - 3 - 0,50.00%
,1,Calyrex Alcremie,1.69%,3 - 2 - 1,50.00%
,1,Rapid Strike Urshifu,1.69%,3 - 2 - 1,50.00%
,1,Sableye Inteleon,1.69%,2 - 3 - 0,40.00%
