,,Deck,Share,Score,Win %
,33,Umbreon Urshifu,17.55%,90 - 123 - 1,42.06%
,24,Dragapult Inteleon,12.77%,123 - 87 - 0,58.57%
,23,Suicune Ludicolo,12.23%,83 - 77 - 3,50.92%
,17,Urshifu Inteleon,9.04%,53 - 59 - 0,47.32%
,16,Leafeon Inteleon,8.51%,58 - 50 - 2,52.73%
,16,Sylveon,8.51%,64 - 55 - 0,53.78%
,10,Jolteon Inteleon,5.32%,27 - 31 - 0,46.55%
,8,Calyrex Inteleon,4.26%,23 - 25 - 0,47.92%
,6,Shadow Rider Calyrex,3.19%,16 - 19 - 0,45.71%
,5,Zacian,2.66%,34 - 17 - 1,65.38%
,4,Duraludon,2.13%,9 - 13 - 0,40.91%
,3,Calyrex Alcremie,1.60%,13 - 13 - 0,50.00%
,3,Weezing Inteleon,1.60%,5 - 8 - 0,38.46%
,3,Decidueye Inteleon,1.60%,12 - 8 - 2,54.55%
,2,Urshifu Blaziken,1.06%,7 - 9 - 0,43.75%
,1,Rapid Strike Malamar,0.53%,0 - 1 - 0,0.00%
,1,Venusaur,0.53%,0 - 1 - 0,0.00%
,1,Suicune,0.53%,2 - 3 - 0,40.00%
,1,Victini,0.53%,3 - 3 - 0,50.00%
,1,Toxtricity,0.53%,1 - 4 - 0,20.00%
,1,Gardevoir,0.53%,0 - 3 - 0,0.00%
,1,Eternatus,0.53%,3 - 5 - 0,37.50%
,1,Dracozolt,0.53%,4 - 3 - 1,50.00%
,1,Gardevoir Gallade,0.53%,4 - 4 - 0,50.00%
,1,Dragapult,0.53%,0 - 3 - 0,0.00%
,1,Mad Party,0.53%,0 - 2 - 0,0.00%
,1,Urshifu Moltres,0.53%,1 - 4 - 0,20.00%
,1,Urshifu Cinccino,0.53%,4 - 4 - 0,50.00%
,1,Suicune Inteleon,0.53%,3 - 3 - 0,50.00%
,1,Other,0.53%,1 - 4 - 0,20.00%
