,,Deck,Share,Score,Win %
,9,Umbreon Urshifu,14.29%,28 - 23 - 4,50.91%
,8,Urshifu Inteleon,12.70%,37 - 22 - 3,59.68%
,7,Dragapult Inteleon,11.11%,20 - 21 - 0,48.78%
,5,Sylveon,7.94%,15 - 18 - 1,44.12%
,5,Zacian,7.94%,12 - 17 - 0,41.38%
,4,Calyrex Alcremie,6.35%,9 - 13 - 0,40.91%
,4,Jolteon Inteleon,6.35%,11 - 13 - 0,45.83%
,4,Calyrex Inteleon,6.35%,17 - 9 - 3,58.62%
,3,Eternatus,4.76%,11 - 9 - 2,50.00%
,3,Suicune Ludicolo,4.76%,5 - 6 - 0,45.45%
,3,Calyrex Dragapult,4.76%,5 - 10 - 0,33.33%
,1,Leafeon Inteleon,1.59%,1 - 2 - 0,33.33%
,1,Inteleon,1.59%,1 - 4 - 0,20.00%
,1,Dragapult,1.59%,5 - 2 - 1,62.50%
,1,Blaziken Zeraora,1.59%,2 - 5 - 0,28.57%
,1,Ice Rider Calyrex,1.59%,0 - 2 - 0,0.00%
,1,Vaporeon Inteleon,1.59%,3 - 4 - 0,42.86%
,1,Shadow Rider Calyrex,1.59%,0 - 1 - 0,0.00%
,1,Other,1.59%,5 - 3 - 0,62.50%
