,,Deck,Share,Score,Win %
,5,Calyrex Inteleon,15.15%,11 - 7 - 2,55.00%
,4,Umbreon Urshifu,12.12%,10 - 9 - 2,47.62%
,3,Leafeon Inteleon,9.09%,9 - 7 - 1,52.94%
,3,Urshifu Inteleon,9.09%,10 - 6 - 1,58.82%
,3,Other,9.09%,4 - 11 - 0,26.67%
,2,Sylveon,6.06%,8 - 3 - 0,72.73%
,2,Shadow Rider Calyrex,6.06%,2 - 5 - 0,28.57%
,2,Dragapult Inteleon,6.06%,2 - 8 - 0,20.00%
,2,Victini,6.06%,8 - 4 - 1,61.54%
,1,Victini Inteleon,3.03%,3 - 2 - 0,60.00%
,1,Sableye Inteleon,3.03%,1 - 3 - 0,25.00%
,1,Decidueye Inteleon,3.03%,2 - 2 - 0,50.00%
,1,Dhelmise Rillaboom,3.03%,0 - 2 - 0,0.00%
,1,Umbreon,3.03%,3 - 1 - 1,60.00%
,1,Victini Umbreon,3.03%,3 - 2 - 0,60.00%
,1,Corviknight,3.03%,0 - 3 - 0,0.00%
