,,Deck,Share,Score,Win %
,10,Umbreon Urshifu,12.05%,25 - 23 - 0,52.08%
,9,Jolteon Inteleon,10.84%,24 - 26 - 0,48.00%
,8,Dragapult Inteleon,9.64%,12 - 20 - 0,37.50%
,6,Suicune Ludicolo,7.23%,23 - 11 - 0,67.65%
,6,Leafeon Inteleon,7.23%,13 - 14 - 0,48.15%
,6,Urshifu Inteleon,7.23%,22 - 12 - 0,64.71%
,4,Other,4.82%,7 - 15 - 0,31.82%
,3,Calyrex Inteleon,3.61%,7 - 6 - 0,53.85%
,3,Zacian,3.61%,5 - 7 - 0,41.67%
,3,Shadow Rider Calyrex,3.61%,10 - 7 - 0,58.82%
,2,Corviknight,2.41%,3 - 8 - 0,27.27%
,2,Victini Inteleon,2.41%,2 - 4 - 0,33.33%
,2,Eternatus,2.41%,9 - 4 - 0,69.23%
,2,Calyrex Alcremie,2.41%,5 - 8 - 0,38.46%
,1,Seaking,1.20%,1 - 3 - 0,25.00%
,1,Urshifu Blaziken,1.20%,3 - 2 - 0,60.00%
,1,Rapid Strike Urshifu,1.20%,5 - 2 - 0,71.43%
,1,Sandaconda,1.20%,2 - 5 - 0,28.57%
,1,Toxtricity,1.20%,1 - 2 - 0,33.33%
,1,Sylveon,1.20%,2 - 5 - 0,28.57%
,1,Gardevoir,1.20%,1 - 2 - 0,33.33%
,1,Sableye Inteleon,1.20%,0 - 2 - 0,0.00%
,1,Centiskorch,1.20%,2 - 2 - 0,50.00%
,1,Suicune,1.20%,0 - 2 - 0,0.00%
,1,Weezing Inteleon,1.20%,1 - 2 - 0,33.33%
,1,Regidrago Cherrim,1.20%,4 - 3 - 0,57.14%
,1,Dracozolt,1.20%,0 - 1 - 0,0.00%
,1,Rapid Strike Malamar,1.20%,0 - 3 - 0,0.00%
,1,Urshifu Moltres,1.20%,3 - 4 - 0,42.86%
,1,Dhelmise,1.20%,6 - 1 - 0,85.71%
,1,Zacian Inteleon,1.20%,0 - 2 - 0,0.00%
