,,Deck,Share,Score,Win %
,10,Dragapult Inteleon,14.93%,42 - 24 - 0,63.64%
,9,Leafeon Inteleon,13.43%,21 - 23 - 0,47.73%
,7,Jolteon Inteleon,10.45%,19 - 14 - 1,55.88%
,5,Suicune Ludicolo,7.46%,17 - 14 - 0,54.84%
,4,Sylveon,5.97%,20 - 10 - 1,64.52%
,4,Zacian,5.97%,6 - 10 - 0,37.50%
,4,Umbreon Urshifu,5.97%,4 - 8 - 0,33.33%
,4,Other,5.97%,5 - 17 - 0,22.73%
,3,Calyrex Inteleon,4.48%,7 - 7 - 0,50.00%
,2,Urshifu Inteleon,2.99%,5 - 6 - 0,45.45%
,2,Weezing Inteleon,2.99%,7 - 7 - 0,50.00%
,2,Rayquaza Flaaffy,2.99%,10 - 6 - 0,62.50%
,1,Dhelmise,1.49%,1 - 6 - 0,14.29%
,1,Togekiss Inteleon,1.49%,4 - 3 - 0,57.14%
,1,Victini Inteleon,1.49%,5 - 3 - 0,62.50%
,1,Dhelmise Rillaboom,1.49%,1 - 2 - 0,33.33%
,1,Calyrex Alcremie,1.49%,2 - 2 - 0,50.00%
,1,Rapid Strike Urshifu,1.49%,2 - 3 - 0,40.00%
,1,Durant,1.49%,1 - 1 - 0,50.00%
,1,Eternatus,1.49%,2 - 3 - 0,40.00%
,1,Alcremie,1.49%,0 - 3 - 0,0.00%
,1,Blastoise,1.49%,3 - 4 - 0,42.86%
,1,Victini,1.49%,3 - 4 - 0,42.86%
