,,Deck,Share,Score,Win %
,8,Urshifu Inteleon,16.33%,22 - 17 - 1,55.00%
,8,Dragapult Inteleon,16.33%,18 - 23 - 1,42.86%
,6,Leafeon Inteleon,12.24%,5 - 12 - 0,29.41%
,4,Zacian,8.16%,12 - 9 - 1,54.55%
,3,Suicune Ludicolo,6.12%,4 - 9 - 0,30.77%
,3,Eternatus,6.12%,2 - 9 - 0,18.18%
,3,Umbreon Urshifu,6.12%,10 - 5 - 3,55.56%
,3,Other,6.12%,3 - 10 - 0,23.08%
,2,Jolteon Inteleon,4.08%,5 - 4 - 2,45.45%
,1,Urshifu Blaziken,2.04%,4 - 2 - 0,66.67%
,1,Sableye Inteleon,2.04%,0 - 2 - 0,0.00%
,1,Dragapult,2.04%,4 - 1 - 2,57.14%
,1,Calyrex Inteleon,2.04%,1 - 2 - 0,33.33%
,1,Blissey,2.04%,0 - 2 - 0,0.00%
,1,Victini,2.04%,2 - 2 - 0,50.00%
,1,Sylveon,2.04%,3 - 3 - 0,50.00%
,1,Rayquaza Flaaffy,2.04%,4 - 2 - 0,66.67%
,1,Calyrex Dragapult,2.04%,6 - 1 - 2,66.67%
