,,Deck,Share,Score,Win %
,6,Dragapult Inteleon,16.67%,13 - 16 - 1,43.33%
,5,Sylveon,13.89%,9 - 12 - 2,39.13%
,4,Jolteon Inteleon,11.11%,16 - 10 - 2,57.14%
,3,Leafeon Inteleon,8.33%,10 - 10 - 0,50.00%
,3,Urshifu Inteleon,8.33%,6 - 8 - 0,42.86%
,3,Umbreon Urshifu,8.33%,9 - 5 - 3,52.94%
,2,Calyrex Alcremie,5.56%,9 - 5 - 1,60.00%
,2,Suicune Ludicolo,5.56%,4 - 4 - 0,50.00%
,1,Metagross,2.78%,3 - 3 - 0,50.00%
,1,Suicune,2.78%,0 - 1 - 0,0.00%
,1,Salamence,2.78%,0 - 2 - 0,0.00%
,1,Rayquaza Flaaffy,2.78%,4 - 3 - 0,57.14%
,1,Shadow Rider Calyrex,2.78%,1 - 3 - 1,20.00%
,1,Eternatus,2.78%,6 - 2 - 1,66.67%
,1,Zacian,2.78%,5 - 3 - 0,62.50%
,1,Other,2.78%,0 - 3 - 1,0.00%
