,,Deck,Share,Score,Win %
,10,Dragapult Inteleon,14.08%,30 - 24 - 0,55.56%
,8,Sylveon,11.27%,26 - 21 - 0,55.32%
,6,Umbreon Urshifu,8.45%,16 - 15 - 0,51.61%
,5,Jolteon Inteleon,7.04%,17 - 13 - 0,56.67%
,5,Victini,7.04%,15 - 17 - 0,46.88%
,5,Leafeon Inteleon,7.04%,10 - 16 - 0,38.46%
,4,Suicune Ludicolo,5.63%,19 - 12 - 0,61.29%
,4,Zacian,5.63%,14 - 11 - 0,56.00%
,3,Urshifu Inteleon,4.23%,5 - 9 - 0,35.71%
,3,Calyrex Inteleon,4.23%,11 - 10 - 0,52.38%
,2,Lapras,2.82%,4 - 6 - 0,40.00%
,2,Shadow Rider Calyrex,2.82%,3 - 6 - 0,33.33%
,2,Dragapult,2.82%,6 - 5 - 0,54.55%
,2,Other,2.82%,4 - 5 - 0,44.44%
,1,Dracozolt,1.41%,0 - 2 - 0,0.00%
,1,Duraludon,1.41%,5 - 3 - 0,62.50%
,1,Charizard,1.41%,1 - 3 - 0,25.00%
,1,Eternatus,1.41%,0 - 2 - 0,0.00%
,1,Calyrex Dragapult,1.41%,2 - 2 - 0,50.00%
,1,Leafeon,1.41%,0 - 2 - 0,0.00%
,1,Sableye Inteleon,1.41%,5 - 3 - 0,62.50%
,1,Urshifu Moltres,1.41%,2 - 3 - 0,40.00%
,1,Rapid Strike Urshifu,1.41%,3 - 4 - 0,42.86%
,1,Togekiss Inteleon,1.41%,1 - 2 - 0,33.33%
