,,Deck,Share,Score,Win %
,7,Leafeon Inteleon,12.07%,20 - 22 - 0,47.62%
,6,Umbreon Urshifu,10.34%,12 - 16 - 0,42.86%
,5,Zacian,8.62%,14 - 14 - 0,50.00%
,4,Dragapult Inteleon,6.90%,7 - 8 - 0,46.67%
,4,Victini,6.90%,10 - 8 - 1,52.63%
,3,Suicune Ludicolo,5.17%,5 - 8 - 0,38.46%
,3,Shadow Rider Calyrex,5.17%,8 - 7 - 1,50.00%
,3,Urshifu Inteleon,5.17%,9 - 6 - 1,56.25%
,3,Calyrex Alcremie,5.17%,11 - 5 - 3,57.89%
,2,Jolteon Inteleon,3.45%,8 - 3 - 2,61.54%
,2,Calyrex Inteleon,3.45%,8 - 3 - 0,72.73%
,2,Dhelmise,3.45%,1 - 8 - 0,11.11%
,2,Rayquaza Flaaffy,3.45%,0 - 5 - 0,0.00%
,2,Sylveon,3.45%,8 - 6 - 0,57.14%
,1,Duraludon,1.72%,0 - 2 - 0,0.00%
,1,Weezing Inteleon,1.72%,1 - 3 - 0,25.00%
,1,Togekiss,1.72%,0 - 2 - 0,0.00%
,1,Glaceon Inteleon,1.72%,3 - 3 - 0,50.00%
,1,Inteleon,1.72%,3 - 3 - 0,50.00%
,1,Gardevoir,1.72%,1 - 3 - 0,25.00%
,1,Dragapult (Infiltrator),1.72%,0 - 2 - 0,0.00%
,1,Decidueye Inteleon,1.72%,1 - 3 - 0,25.00%
,1,Blastoise,1.72%,4 - 2 - 0,66.67%
,1,Other,1.72%,0 - 1 - 0,0.00%
