,,Deck,Share,Score,Win %
,10,Umbreon Urshifu,22.73%,23 - 28 - 2,43.40%
,6,Urshifu Inteleon,13.64%,21 - 11 - 3,60.00%
,5,Dragapult Inteleon,11.36%,13 - 13 - 2,46.43%
,3,Shadow Rider Calyrex,6.82%,4 - 7 - 0,36.36%
,3,Calyrex Inteleon,6.82%,8 - 10 - 0,44.44%
,2,Sylveon,4.55%,6 - 4 - 1,54.55%
,2,Jolteon Inteleon,4.55%,7 - 5 - 0,58.33%
,2,Suicune Ludicolo,4.55%,8 - 5 - 1,57.14%
,2,Leafeon Inteleon,4.55%,4 - 5 - 0,44.44%
,2,Zacian,4.55%,5 - 5 - 0,50.00%
,1,Urshifu Moltres,2.27%,2 - 3 - 0,40.00%
,1,Charizard,2.27%,1 - 2 - 0,33.33%
,1,Sandaconda,2.27%,0 - 3 - 0,0.00%
,1,Victini,2.27%,4 - 2 - 1,57.14%
,1,Eternatus,2.27%,1 - 3 - 0,25.00%
,1,Weezing Inteleon,2.27%,4 - 2 - 0,66.67%
,1,Tapu Koko,2.27%,0 - 2 - 0,0.00%
