,,Deck,Share,Score,Win %
,7,Dragapult Inteleon,18.92%,15 - 18 - 1,44.12%
,5,Umbreon Urshifu,13.51%,11 - 12 - 1,45.83%
,3,Zacian,8.11%,6 - 6 - 0,50.00%
,3,Other,8.11%,6 - 7 - 1,42.86%
,2,Leafeon Inteleon,5.41%,4 - 5 - 1,40.00%
,2,Eternatus,5.41%,1 - 5 - 0,16.67%
,2,Suicune Ludicolo,5.41%,12 - 3 - 0,80.00%
,2,Urshifu Inteleon,5.41%,6 - 6 - 0,50.00%
,2,Jolteon Inteleon,5.41%,8 - 4 - 2,57.14%
,2,Sylveon,5.41%,9 - 3 - 0,75.00%
,1,Corviknight,2.70%,2 - 4 - 0,33.33%
,1,Charizard,2.70%,3 - 3 - 0,50.00%
,1,Tornadus,2.70%,3 - 3 - 0,50.00%
,1,Urshifu Blaziken,2.70%,0 - 5 - 0,0.00%
,1,Sableye Inteleon,2.70%,0 - 2 - 0,0.00%
,1,Inteleon,2.70%,2 - 2 - 0,50.00%
,1,Suicune Inteleon,2.70%,3 - 3 - 0,50.00%
