,,Deck,Share,Score,Win %
,4,Dragapult Inteleon,16.00%,17 - 7 - 0,70.83%
,2,Leafeon Inteleon,8.00%,3 - 7 - 0,30.00%
,2,Calyrex Inteleon,8.00%,3 - 7 - 0,30.00%
,2,Umbreon Urshifu,8.00%,5 - 2 - 0,71.43%
,2,Sylveon,8.00%,4 - 4 - 0,50.00%
,2,Other,8.00%,4 - 4 - 0,50.00%
,1,Corviknight,4.00%,3 - 3 - 0,50.00%
,1,Togekiss Inteleon,4.00%,4 - 2 - 0,66.67%
,1,Rayquaza Flaaffy,4.00%,2 - 4 - 0,33.33%
,1,Duraludon,4.00%,2 - 3 - 0,40.00%
,1,Urshifu Inteleon,4.00%,0 - 1 - 0,0.00%
,1,Shadow Rider Calyrex,4.00%,1 - 3 - 0,25.00%
,1,Sableye Inteleon,4.00%,1 - 1 - 0,50.00%
,1,Zacian,4.00%,4 - 2 - 0,66.67%
,1,Victini,4.00%,2 - 1 - 0,66.67%
,1,Blaziken,4.00%,3 - 2 - 0,60.00%
,1,Blissey,4.00%,2 - 4 - 0,33.33%
