,,Deck,Share,Score,Win %
,9,Umbreon Urshifu,14.06%,20 - 27 - 0,42.55%
,6,Jolteon Inteleon,9.38%,9 - 13 - 0,40.91%
,6,Calyrex Inteleon,9.38%,18 - 13 - 0,58.06%
,5,Suicune Ludicolo,7.81%,16 - 8 - 0,66.67%
,5,Sylveon,7.81%,14 - 12 - 0,53.85%
,4,Dragapult Inteleon,6.25%,12 - 7 - 0,63.16%
,4,Urshifu Inteleon,6.25%,7 - 9 - 0,43.75%
,4,Zacian,6.25%,8 - 11 - 0,42.11%
,3,Victini,4.69%,10 - 8 - 0,55.56%
,3,Shadow Rider Calyrex,4.69%,6 - 5 - 0,54.55%
,2,Urshifu Blaziken,3.13%,2 - 3 - 0,40.00%
,2,Suicune Inteleon,3.13%,4 - 4 - 0,50.00%
,2,Leafeon Inteleon,3.13%,3 - 3 - 0,50.00%
,1,Weezing Inteleon,1.56%,4 - 2 - 0,66.67%
,1,Coalossal,1.56%,3 - 3 - 0,50.00%
,1,Urshifu Moltres,1.56%,4 - 2 - 0,66.67%
,1,Sableye Inteleon,1.56%,0 - 2 - 0,0.00%
,1,Vaporeon Inteleon,1.56%,1 - 5 - 0,16.67%
,1,Zacian Moltres,1.56%,0 - 1 - 0,0.00%
,1,Inteleon,1.56%,2 - 4 - 0,33.33%
,1,Zacian Ludicolo,1.56%,2 - 4 - 0,33.33%
,1,Other,1.56%,1 - 5 - 0,16.67%
