,,Deck,Share,Score,Win %
,19,Zacian,13.97%,68 - 75 - 2,46.90%
,17,Dragapult Inteleon,12.50%,70 - 50 - 0,58.33%
,13,Umbreon Urshifu,9.56%,39 - 44 - 4,44.83%
,11,Leafeon Inteleon,8.09%,27 - 43 - 1,38.03%
,9,Sylveon,6.62%,32 - 37 - 0,46.38%
,9,Urshifu Inteleon,6.62%,34 - 30 - 3,50.75%
,8,Jolteon Inteleon,5.88%,32 - 30 - 0,51.61%
,7,Other,5.15%,4 - 24 - 0,14.29%
,5,Suicune Ludicolo,3.68%,22 - 14 - 3,56.41%
,5,Calyrex Inteleon,3.68%,19 - 20 - 0,48.72%
,4,Rayquaza Flaaffy,2.94%,6 - 8 - 0,42.86%
,4,Victini,2.94%,8 - 12 - 0,40.00%
,3,Calyrex Alcremie,2.21%,8 - 7 - 0,53.33%
,2,Shadow Rider Calyrex,1.47%,6 - 7 - 0,46.15%
,2,Weezing Inteleon,1.47%,0 - 9 - 0,0.00%
,2,Eternatus,1.47%,4 - 5 - 0,44.44%
,2,Urshifu Cinccino,1.47%,8 - 7 - 0,53.33%
,2,Sableye Inteleon,1.47%,9 - 7 - 1,52.94%
,1,Maractus Cherrim,0.74%,1 - 3 - 0,25.00%
,1,Urshifu Blaziken,0.74%,0 - 3 - 0,0.00%
,1,Victini Inteleon,0.74%,2 - 3 - 0,40.00%
,1,Blaziken,0.74%,1 - 1 - 0,50.00%
,1,Dragapult Urshifu,0.74%,0 - 2 - 0,0.00%
,1,Rapid Strike Malamar,0.74%,4 - 6 - 0,40.00%
,1,Dragonite,0.74%,0 - 1 - 0,0.00%
,1,Tapu Koko,0.74%,0 - 6 - 0,0.00%
,1,Calyrex Dragapult,0.74%,11 - 3 - 0,78.57%
,1,Blissey,0.74%,0 - 6 - 0,0.00%
,1,Urshifu Moltres,0.74%,5 - 5 - 0,50.00%
,1,Decidueye Inteleon,0.74%,5 - 5 - 0,50.00%
