,,Deck,Share,Score,Win %
,10,Dragapult Inteleon,10.42%,32 - 27 - 0,54.24%
,8,Leafeon Inteleon,8.33%,22 - 19 - 0,53.66%
,8,Umbreon Urshifu,8.33%,16 - 21 - 0,43.24%
,8,Jolteon Inteleon,8.33%,25 - 26 - 0,49.02%
,8,Calyrex Inteleon,8.33%,13 - 29 - 1,30.23%
,7,Urshifu Inteleon,7.29%,24 - 15 - 0,61.54%
,7,Zacian,7.29%,28 - 20 - 0,58.33%
,4,Other,4.17%,4 - 16 - 0,20.00%
,3,Suicune Inteleon,3.13%,6 - 8 - 1,40.00%
,3,Duraludon,3.13%,2 - 13 - 0,13.33%
,3,Suicune Ludicolo,3.13%,3 - 7 - 0,30.00%
,2,Calyrex Alcremie,2.08%,2 - 4 - 0,33.33%
,2,Sylveon,2.08%,7 - 9 - 0,43.75%
,2,Victini,2.08%,1 - 4 - 0,20.00%
,2,Dracozolt,2.08%,8 - 6 - 0,57.14%
,2,Shadow Rider Calyrex,2.08%,5 - 3 - 0,62.50%
,2,Eternatus,2.08%,1 - 4 - 0,20.00%
,2,Urshifu Moltres,2.08%,6 - 5 - 0,54.55%
,1,Blaziken Zeraora,1.04%,2 - 5 - 0,28.57%
,1,Dragapult (Infiltrator),1.04%,0 - 3 - 0,0.00%
,1,Jolteon,1.04%,4 - 3 - 0,57.14%
,1,Wailord,1.04%,1 - 6 - 0,14.29%
,1,Pikachu,1.04%,1 - 2 - 0,33.33%
,1,Coalossal (Tar Generator),1.04%,0 - 7 - 0,0.00%
,1,Rapid Strike Malamar,1.04%,3 - 3 - 0,50.00%
,1,Urshifu Blaziken,1.04%,2 - 3 - 0,40.00%
,1,Vikavolt,1.04%,0 - 1 - 0,0.00%
,1,Zacian Ludicolo,1.04%,1 - 6 - 0,14.29%
,1,Weezing Inteleon,1.04%,5 - 2 - 0,71.43%
,1,Inteleon,1.04%,6 - 2 - 0,75.00%
,1,Charizard,1.04%,2 - 5 - 0,28.57%
