,,Deck,Share,Score,Win %
,9,Dragapult Inteleon,12.00%,27 - 23 - 1,52.94%
,7,Zacian,9.33%,9 - 17 - 1,33.33%
,7,Umbreon Urshifu,9.33%,7 - 16 - 0,30.43%
,6,Calyrex Inteleon,8.00%,18 - 14 - 0,56.25%
,6,Leafeon Inteleon,8.00%,10 - 18 - 0,35.71%
,6,Jolteon Inteleon,8.00%,19 - 15 - 2,52.78%
,6,Sylveon,8.00%,20 - 14 - 3,54.05%
,4,Suicune Ludicolo,5.33%,13 - 10 - 0,56.52%
,4,Calyrex Alcremie,5.33%,10 - 13 - 0,43.48%
,3,Weezing Inteleon,4.00%,5 - 12 - 1,27.78%
,2,Shadow Rider Calyrex,2.67%,2 - 4 - 0,33.33%
,2,Other,2.67%,2 - 4 - 0,33.33%
,1,Sableye Inteleon,1.33%,3 - 3 - 0,50.00%
,1,Rapid Strike Malamar,1.33%,3 - 4 - 0,42.86%
,1,Dracozolt,1.33%,7 - 1 - 1,77.78%
,1,Rapid Strike Urshifu,1.33%,0 - 1 - 0,0.00%
,1,Inteleon,1.33%,2 - 3 - 0,40.00%
,1,Vaporeon Inteleon,1.33%,4 - 3 - 0,57.14%
,1,Urshifu Inteleon,1.33%,5 - 2 - 0,71.43%
,1,Zacian Inteleon,1.33%,3 - 4 - 0,42.86%
,1,Dhelmise,1.33%,4 - 3 - 0,57.14%
,1,Urshifu Blaziken,1.33%,2 - 5 - 0,28.57%
,1,Togekiss,1.33%,1 - 3 - 0,25.00%
,1,Decidueye Inteleon,1.33%,1 - 1 - 0,50.00%
,1,Urshifu Moltres,1.33%,5 - 2 - 1,62.50%
