,,Deck,Share,Score,Win %
,10,Umbreon Urshifu,13.70%,23 - 21 - 1,51.11%
,9,Dragapult Inteleon,12.33%,11 - 22 - 0,33.33%
,8,Zacian,10.96%,15 - 21 - 0,41.67%
,5,Leafeon Inteleon,6.85%,13 - 14 - 0,48.15%
,5,Urshifu Inteleon,6.85%,18 - 14 - 0,56.25%
,5,Jolteon Inteleon,6.85%,15 - 11 - 2,53.57%
,4,Sableye Inteleon,5.48%,8 - 8 - 0,50.00%
,3,Suicune Ludicolo,4.11%,10 - 6 - 0,62.50%
,3,Dhelmise,4.11%,12 - 6 - 0,66.67%
,3,Calyrex Alcremie,4.11%,5 - 7 - 0,41.67%
,2,Eternatus,2.74%,7 - 4 - 0,63.64%
,2,Shadow Rider Calyrex,2.74%,1 - 4 - 0,20.00%
,1,Togekiss Inteleon,1.37%,3 - 2 - 0,60.00%
,1,Dracozolt,1.37%,1 - 2 - 2,20.00%
,1,Sylveon,1.37%,5 - 2 - 0,71.43%
,1,Charizard,1.37%,0 - 1 - 0,0.00%
,1,Orbeetle,1.37%,2 - 3 - 1,33.33%
,1,Calyrex Inteleon,1.37%,0 - 6 - 0,0.00%
,1,Victini,1.37%,4 - 2 - 0,66.67%
,1,Gardevoir Gallade,1.37%,3 - 3 - 0,50.00%
,1,Umbreon,1.37%,5 - 2 - 0,71.43%
,1,Inteleon,1.37%,3 - 3 - 0,50.00%
,1,Regidrago Cherrim,1.37%,2 - 3 - 0,40.00%
,1,Urshifu Moltres,1.37%,3 - 3 - 0,50.00%
,1,Urshifu Blaziken,1.37%,0 - 2 - 0,0.00%
,1,Other,1.37%,1 - 3 - 0,25.00%
