,,Deck,Share,Score,Win %
,3,Leafeon Inteleon,15.79%,11 - 5 - 1,64.71%
,1,Umbreon Urshifu,5.26%,3 - 2 - 0,60.00%
,1,Weezing Inteleon,5.26%,3 - 2 - 0,60.00%
,1,Regidrago Cherrim,5.26%,2 - 3 - 0,40.00%
,1,Rayquaza Flaaffy,5.26%,2 - 3 - 0,40.00%
,1,Suicune Ludicolo,5.26%,5 - 2 - 0,71.43%
,1,Calyrex Inteleon,5.26%,3 - 2 - 0,60.00%
,1,Toxtricity,5.26%,0 - 3 - 0,0.00%
,1,Gardevoir,5.26%,0 - 2 - 0,0.00%
,1,Eternatus,5.26%,0 - 1 - 0,0.00%
,1,Dragapult Inteleon,5.26%,2 - 3 - 0,40.00%
,1,Zacian,5.26%,0 - 2 - 0,0.00%
,1,Urshifu Moltres,5.26%,3 - 2 - 0,60.00%
,1,Alcremie,5.26%,1 - 4 - 0,20.00%
,1,Corviknight,5.26%,4 - 2 - 0,66.67%
,1,Decidueye Inteleon,5.26%,3 - 2 - 1,50.00%
,1,Urshifu Inteleon,5.26%,3 - 2 - 0,60.00%
