,,Deck,Share,Score,Win %
,5,Urshifu Inteleon,11.63%,11 - 13 - 1,44.00%
,4,Jolteon Inteleon,9.30%,9 - 15 - 1,36.00%
,4,Zacian,9.30%,4 - 10 - 0,28.57%
,4,Umbreon Urshifu,9.30%,16 - 8 - 2,61.54%
,4,Dragapult Inteleon,9.30%,11 - 9 - 1,52.38%
,4,Calyrex Inteleon,9.30%,9 - 13 - 1,39.13%
,3,Sylveon,6.98%,5 - 11 - 0,31.25%
,3,Other,6.98%,3 - 9 - 0,25.00%
,2,Eternatus,4.65%,2 - 4 - 0,33.33%
,2,Calyrex Alcremie,4.65%,5 - 4 - 0,55.56%
,1,Leafeon Inteleon,2.33%,8 - 1 - 0,88.89%
,1,Victini,2.33%,2 - 2 - 0,50.00%
,1,Weezing Inteleon,2.33%,0 - 2 - 0,0.00%
,1,Dragapult,2.33%,2 - 3 - 0,40.00%
,1,Zacian Ludicolo,2.33%,4 - 2 - 0,66.67%
,1,Suicune Ludicolo,2.33%,3 - 3 - 0,50.00%
,1,Inteleon,2.33%,4 - 2 - 0,66.67%
,1,Dracozolt,2.33%,1 - 1 - 0,50.00%
