,,Deck,Share,Score,Win %
,6,Umbreon Urshifu,17.14%,13 - 11 - 0,54.17%
,6,Dragapult Inteleon,17.14%,24 - 15 - 2,58.54%
,3,Urshifu Inteleon,8.57%,6 - 6 - 0,50.00%
,2,Leafeon Inteleon,5.71%,5 - 5 - 0,50.00%
,2,Sylveon,5.71%,2 - 4 - 0,33.33%
,2,Suicune Ludicolo,5.71%,6 - 7 - 1,42.86%
,2,Decidueye Inteleon,5.71%,2 - 5 - 0,28.57%
,1,Victini,2.86%,3 - 3 - 0,50.00%
,1,Weezing Inteleon,2.86%,2 - 3 - 0,40.00%
,1,Dracozolt,2.86%,1 - 5 - 0,16.67%
,1,Inteleon,2.86%,4 - 2 - 0,66.67%
,1,Shadow Rider Calyrex,2.86%,1 - 3 - 0,25.00%
,1,Urshifu Blaziken,2.86%,4 - 3 - 0,57.14%
,1,Rayquaza Flaaffy,2.86%,0 - 2 - 0,0.00%
,1,Zacian Ludicolo,2.86%,3 - 3 - 0,50.00%
,1,Pikachu,2.86%,1 - 5 - 0,16.67%
,1,Zacian,2.86%,3 - 3 - 0,50.00%
,1,Calyrex Alcremie,2.86%,7 - 1 - 1,77.78%
,1,Jolteon Inteleon,2.86%,3 - 3 - 0,50.00%
