,,Deck,Share,Score,Win %
,7,Zacian,12.28%,15 - 14 - 0,51.72%
,5,Dragapult Inteleon,8.77%,18 - 11 - 2,58.06%
,5,Other,8.77%,13 - 16 - 0,44.83%
,4,Urshifu Inteleon,7.02%,6 - 10 - 0,37.50%
,3,Duraludon,5.26%,3 - 7 - 0,30.00%
,3,Umbreon Urshifu,5.26%,8 - 6 - 0,57.14%
,2,Calyrex Alcremie,3.51%,5 - 3 - 0,62.50%
,2,Weezing Inteleon,3.51%,4 - 5 - 0,44.44%
,2,Jolteon Inteleon,3.51%,1 - 3 - 0,25.00%
,2,Suicune Ludicolo,3.51%,5 - 3 - 0,62.50%
,2,Shadow Rider Calyrex,3.51%,3 - 5 - 0,37.50%
,2,Victini,3.51%,5 - 5 - 0,50.00%
,2,Eternatus,3.51%,7 - 4 - 0,63.64%
,2,Sableye Inteleon,3.51%,1 - 3 - 0,25.00%
,2,Leafeon Inteleon,3.51%,11 - 3 - 2,68.75%
,2,Sylveon,3.51%,9 - 3 - 2,64.29%
,1,Dragonite,1.75%,3 - 3 - 0,50.00%
,1,Urshifu Cinccino,1.75%,1 - 2 - 0,33.33%
,1,Togekiss,1.75%,1 - 5 - 0,16.67%
,1,Dhelmise,1.75%,0 - 1 - 0,0.00%
,1,Blaziken,1.75%,2 - 2 - 0,50.00%
,1,Gardevoir Gallade,1.75%,1 - 5 - 0,16.67%
,1,Blissey,1.75%,0 - 3 - 0,0.00%
,1,Corviknight,1.75%,1 - 5 - 0,16.67%
,1,Tornadus,1.75%,0 - 1 - 0,0.00%
,1,Rapid Strike Urshifu,1.75%,4 - 2 - 0,66.67%
