,,Deck,Share,Score,Win %
,6,Urshifu Inteleon,15.79%,9 - 12 - 0,42.86%
,5,Dragapult Inteleon,13.16%,16 - 11 - 4,51.61%
,5,Zacian,13.16%,12 - 12 - 2,46.15%
,3,Umbreon Urshifu,7.89%,9 - 5 - 0,64.29%
,3,Sylveon,7.89%,6 - 6 - 1,46.15%
,2,Leafeon Inteleon,5.26%,4 - 5 - 0,44.44%
,2,Calyrex Inteleon,5.26%,4 - 8 - 0,33.33%
,1,Suicune Ludicolo,2.63%,4 - 2 - 0,66.67%
,1,Eternatus,2.63%,1 - 2 - 0,33.33%
,1,Shadow Rider Calyrex,2.63%,4 - 2 - 0,66.67%
,1,Weezing Inteleon,2.63%,0 - 1 - 0,0.00%
,1,Victini,2.63%,2 - 4 - 0,33.33%
,1,Inteleon,2.63%,1 - 4 - 0,20.00%
,1,Jolteon Inteleon,2.63%,4 - 2 - 0,66.67%
,1,Gardevoir Gallade,2.63%,3 - 3 - 0,50.00%
,1,Jolteon,2.63%,3 - 3 - 0,50.00%
,1,Calyrex Alcremie,2.63%,1 - 1 - 0,50.00%
,1,Urshifu Blaziken,2.63%,4 - 2 - 1,57.14%
,1,Lapras,2.63%,1 - 5 - 0,16.67%
