,,Deck,Share,Score,Win %
,3,Suicune Ludicolo,14.29%,6 - 4 - 1,54.55%
,3,Other,14.29%,4 - 9 - 2,26.67%
,2,Leafeon Inteleon,9.52%,11 - 3 - 1,73.33%
,2,Sylveon,9.52%,4 - 3 - 0,57.14%
,2,Dragapult Inteleon,9.52%,2 - 6 - 1,22.22%
,1,Zacian,4.76%,2 - 3 - 0,40.00%
,1,Blissey,4.76%,1 - 3 - 1,20.00%
,1,Inteleon,4.76%,2 - 4 - 0,33.33%
,1,Umbreon Urshifu,4.76%,3 - 3 - 0,50.00%
,1,Sableye Inteleon,4.76%,0 - 1 - 0,0.00%
,1,Regidrago Cherrim,4.76%,1 - 2 - 2,20.00%
,1,Jolteon Inteleon,4.76%,1 - 2 - 2,20.00%
,1,Calyrex Alcremie,4.76%,4 - 2 - 1,57.14%
,1,Urshifu Inteleon,4.76%,1 - 0 - 1,50.00%
