,,Deck,Share,Score,Win %
,3,Dragapult Inteleon,18.75%,7 - 10 - 1,38.89%
,2,Leafeon Inteleon,12.50%,6 - 3 - 0,66.67%
,2,Other,12.50%,3 - 5 - 1,33.33%
,1,Togekiss Inteleon,6.25%,1 - 1 - 0,50.00%
,1,Eternatus,6.25%,6 - 3 - 0,66.67%
,1,Umbreon Urshifu,6.25%,4 - 4 - 0,50.00%
,1,Suicune Ludicolo,6.25%,8 - 2 - 0,80.00%
,1,Zacian,6.25%,1 - 3 - 0,25.00%
,1,Shadow Rider Calyrex,6.25%,5 - 5 - 0,50.00%
,1,Calyrex Inteleon,6.25%,5 - 4 - 0,55.56%
,1,Regidrago Cherrim,6.25%,0 - 2 - 0,0.00%
,1,Sylveon,6.25%,2 - 4 - 0,33.33%
