,,Deck,Share,Score,Win %
,12,Umbreon Urshifu,10.81%,34 - 37 - 0,47.89%
,11,Dragapult Inteleon,9.91%,32 - 29 - 0,52.46%
,11,Zacian,9.91%,34 - 27 - 1,54.84%
,9,Leafeon Inteleon,8.11%,19 - 20 - 0,48.72%
,8,Calyrex Inteleon,7.21%,26 - 18 - 3,55.32%
,7,Urshifu Inteleon,6.31%,20 - 20 - 0,50.00%
,6,Jolteon Inteleon,5.41%,26 - 15 - 1,61.90%
,5,Suicune Ludicolo,4.50%,9 - 10 - 1,45.00%
,4,Other,3.60%,5 - 15 - 0,25.00%
,3,Shadow Rider Calyrex,2.70%,1 - 6 - 0,14.29%
,3,Sableye Inteleon,2.70%,2 - 5 - 0,28.57%
,3,Victini Inteleon,2.70%,8 - 6 - 1,53.33%
,2,Urshifu Moltres,1.80%,7 - 5 - 0,58.33%
,2,Umbreon,1.80%,0 - 8 - 0,0.00%
,2,Sylveon,1.80%,8 - 5 - 1,57.14%
,2,Inteleon,1.80%,3 - 6 - 0,33.33%
,2,Rayquaza Flaaffy,1.80%,2 - 6 - 0,25.00%
,2,Corviknight,1.80%,3 - 6 - 1,30.00%
,2,Victini,1.80%,5 - 4 - 0,55.56%
,2,Calyrex Alcremie,1.80%,6 - 5 - 0,54.55%
,2,Zacian Ludicolo,1.80%,8 - 5 - 0,61.54%
,1,Dragapult,0.90%,1 - 2 - 0,33.33%
,1,Wailord,0.90%,1 - 2 - 0,33.33%
,1,Eternatus,0.90%,4 - 3 - 0,57.14%
,1,Zacian Inteleon,0.90%,5 - 2 - 1,62.50%
,1,Blissey,0.90%,1 - 3 - 0,25.00%
,1,Decidueye Inteleon,0.90%,2 - 2 - 0,50.00%
,1,Maractus Cherrim,0.90%,1 - 4 - 0,20.00%
,1,Weezing Inteleon,0.90%,0 - 3 - 0,0.00%
,1,Salamence,0.90%,0 - 2 - 0,0.00%
,1,Blastoise,0.90%,2 - 5 - 0,28.57%
,1,Suicune Inteleon,0.90%,2 - 3 - 0,40.00%
