,,Deck,Share,Score,Win %
,7,Calyrex Inteleon,12.73%,17 - 15 - 1,51.52%
,5,Leafeon Inteleon,9.09%,2 - 10 - 0,16.67%
,5,Urshifu Inteleon,9.09%,16 - 11 - 0,59.26%
,4,Sylveon,7.27%,12 - 11 - 2,48.00%
,4,Suicune Ludicolo,7.27%,5 - 10 - 1,31.25%
,3,Zacian,5.45%,5 - 7 - 0,41.67%
,3,Umbreon Urshifu,5.45%,3 - 5 - 0,37.50%
,3,Dragapult Inteleon,5.45%,12 - 6 - 2,60.00%
,2,Decidueye Inteleon,3.64%,6 - 5 - 1,50.00%
,2,Eternatus,3.64%,2 - 5 - 0,28.57%
,2,Jolteon Inteleon,3.64%,10 - 3 - 2,66.67%
,2,Calyrex Alcremie,3.64%,1 - 3 - 0,25.00%
,2,Inteleon,3.64%,7 - 5 - 0,58.33%
,1,Sandaconda,1.82%,0 - 2 - 0,0.00%
,1,Dracozolt,1.82%,3 - 3 - 0,50.00%
,1,Orbeetle,1.82%,0 - 1 - 0,0.00%
,1,Duraludon,1.82%,1 - 1 - 0,50.00%
,1,Dragapult,1.82%,4 - 1 - 2,57.14%
,1,Vikavolt,1.82%,1 - 5 - 0,16.67%
,1,Victini,1.82%,2 - 2 - 0,50.00%
,1,Dhelmise,1.82%,3 - 3 - 0,50.00%
,1,Togekiss Inteleon,1.82%,5 - 2 - 0,71.43%
,1,Weezing Inteleon,1.82%,5 - 2 - 1,62.50%
,1,Other,1.82%,2 - 4 - 0,33.33%
