,,Deck,Share,Score,Win %
,8,Dragapult Inteleon,18.18%,11 - 16 - 0,40.74%
,5,Umbreon Urshifu,11.36%,13 - 9 - 0,59.09%
,4,Other,9.09%,4 - 11 - 0,26.67%
,3,Zacian,6.82%,6 - 6 - 0,50.00%
,3,Urshifu Inteleon,6.82%,7 - 8 - 0,46.67%
,2,Sylveon,4.55%,8 - 4 - 0,66.67%
,2,Jolteon Inteleon,4.55%,7 - 5 - 0,58.33%
,2,Calyrex Inteleon,4.55%,6 - 3 - 0,66.67%
,2,Leafeon Inteleon,4.55%,5 - 4 - 0,55.56%
,2,Calyrex Alcremie,4.55%,9 - 3 - 0,75.00%
,1,Urshifu Blaziken,2.27%,0 - 2 - 0,0.00%
,1,Duraludon,2.27%,3 - 3 - 0,50.00%
,1,Sableye Inteleon,2.27%,0 - 1 - 0,0.00%
,1,Dragapult,2.27%,5 - 1 - 0,83.33%
,1,Suicune Ludicolo,2.27%,4 - 2 - 0,66.67%
,1,Dhelmise Rillaboom,2.27%,1 - 2 - 0,33.33%
,1,Corviknight,2.27%,2 - 4 - 0,33.33%
,1,Weezing Inteleon,2.27%,3 - 3 - 0,50.00%
,1,Metagross,2.27%,1 - 3 - 0,25.00%
,1,Mad Party,2.27%,2 - 4 - 0,33.33%
,1,Eternatus,2.27%,0 - 2 - 0,0.00%
