,,Deck,Share,Score,Win %
,13,Dragapult Inteleon,20.97%,56 - 40 - 4,56.00%
,6,Sylveon,9.68%,14 - 19 - 0,42.42%
,6,Urshifu Inteleon,9.68%,14 - 18 - 0,43.75%
,6,Umbreon Urshifu,9.68%,25 - 20 - 2,53.19%
,4,Zacian,6.45%,13 - 15 - 1,44.83%
,4,Leafeon Inteleon,6.45%,17 - 14 - 2,51.52%
,3,Inteleon,4.84%,5 - 10 - 0,33.33%
,3,Other,4.84%,7 - 14 - 0,33.33%
,2,Calyrex Inteleon,3.23%,3 - 9 - 0,25.00%
,2,Suicune Ludicolo,3.23%,15 - 7 - 1,65.22%
,1,Decidueye Inteleon,1.61%,3 - 3 - 0,50.00%
,1,Charizard,1.61%,1 - 3 - 0,25.00%
,1,Urshifu Cinccino,1.61%,6 - 4 - 0,60.00%
,1,Zacian Ludicolo,1.61%,0 - 2 - 0,0.00%
,1,Wailord,1.61%,1 - 3 - 0,25.00%
,1,Sableye Inteleon,1.61%,3 - 3 - 0,50.00%
,1,Jolteon Inteleon,1.61%,1 - 1 - 0,50.00%
,1,Victini,1.61%,0 - 4 - 0,0.00%
,1,Dragapult,1.61%,3 - 3 - 0,50.00%
,1,Calyrex Alcremie,1.61%,2 - 3 - 0,40.00%
,1,Flareon,1.61%,1 - 3 - 0,25.00%
,1,Tornadus,1.61%,2 - 3 - 0,40.00%
,1,Lapras,1.61%,2 - 4 - 0,33.33%
