,,Deck,Share,Score,Win %
,15,Umbreon Urshifu,11.90%,44 - 46 - 0,48.89%
,14,Urshifu Inteleon,11.11%,35 - 38 - 0,47.95%
,11,Dragapult Inteleon,8.73%,20 - 26 - 0,43.48%
,10,Leafeon Inteleon,7.94%,36 - 31 - 0,53.73%
,9,Calyrex Inteleon,7.14%,39 - 25 - 0,60.94%
,8,Zacian,6.35%,22 - 20 - 0,52.38%
,7,Sylveon,5.56%,27 - 18 - 0,60.00%
,6,Suicune Ludicolo,4.76%,35 - 19 - 0,64.81%
,5,Jolteon Inteleon,3.97%,15 - 16 - 0,48.39%
,5,Victini,3.97%,12 - 16 - 0,42.86%
,4,Other,3.17%,3 - 10 - 0,23.08%
,3,Urshifu Moltres,2.38%,13 - 10 - 0,56.52%
,3,Decidueye Inteleon,2.38%,4 - 6 - 0,40.00%
,2,Calyrex Alcremie,1.59%,4 - 5 - 0,44.44%
,2,Inteleon,1.59%,2 - 4 - 0,33.33%
,2,Shadow Rider Calyrex,1.59%,8 - 7 - 0,53.33%
,1,Toxtricity,0.79%,1 - 7 - 0,12.50%
,1,Tornadus,0.79%,4 - 3 - 0,57.14%
,1,Jolteon,0.79%,5 - 3 - 0,62.50%
,1,Eternatus,0.79%,2 - 3 - 0,40.00%
,1,Charizard,0.79%,2 - 3 - 0,40.00%
,1,Rillaboom,0.79%,1 - 3 - 0,25.00%
,1,Urshifu Cinccino,0.79%,3 - 2 - 0,60.00%
,1,Duraludon,0.79%,2 - 3 - 0,40.00%
,1,Glaceon,0.79%,3 - 3 - 0,50.00%
,1,Rayquaza,0.79%,0 - 3 - 0,0.00%
,1,Zacian Inteleon,0.79%,0 - 2 - 0,0.00%
,1,Alcremie,0.79%,3 - 5 - 0,37.50%
,1,Urshifu Blaziken,0.79%,4 - 3 - 0,57.14%
,1,Zacian Ludicolo,0.79%,0 - 2 - 0,0.00%
,1,Corviknight,0.79%,4 - 3 - 0,57.14%
,1,Vikavolt,0.79%,1 - 2 - 0,33.33%
,1,Dracozolt,0.79%,2 - 3 - 0,40.00%
,1,Vaporeon,0.79%,3 - 3 - 0,50.00%
,1,Dragapult,0.79%,0 - 3 - 0,0.00%
,1,Rapid Strike Malamar,0.79%,2 - 2 - 0,50.00%
