,,Deck,Share,Score,Win %
,17,Dragapult Inteleon,15.32%,57 - 48 - 2,53.27%
,13,Leafeon Inteleon,11.71%,38 - 31 - 1,54.29%
,11,Sylveon,9.91%,23 - 32 - 0,41.82%
,9,Umbreon Urshifu,8.11%,20 - 27 - 0,42.55%
,7,Zacian,6.31%,26 - 13 - 0,66.67%
,7,Urshifu Inteleon,6.31%,15 - 18 - 1,44.12%
,6,Jolteon Inteleon,5.41%,17 - 9 - 1,62.96%
,6,Calyrex Alcremie,5.41%,11 - 20 - 0,35.48%
,6,Other,5.41%,7 - 21 - 0,25.00%
,4,Suicune Ludicolo,3.60%,11 - 8 - 1,55.00%
,4,Shadow Rider Calyrex,3.60%,3 - 10 - 0,23.08%
,3,Victini,2.70%,3 - 11 - 0,21.43%
,3,Sableye Inteleon,2.70%,12 - 6 - 0,66.67%
,3,Calyrex Inteleon,2.70%,10 - 6 - 0,62.50%
,2,Victini Inteleon,1.80%,5 - 3 - 0,62.50%
,2,Rapid Strike Urshifu,1.80%,2 - 5 - 0,28.57%
,2,Suicune,1.80%,4 - 5 - 0,44.44%
,1,Suicune Inteleon,0.90%,2 - 2 - 0,50.00%
,1,Blaziken,0.90%,4 - 2 - 0,66.67%
,1,Inteleon,0.90%,0 - 3 - 0,0.00%
,1,Eternatus,0.90%,4 - 3 - 0,57.14%
,1,Urshifu Moltres,0.90%,3 - 4 - 0,42.86%
,1,Duraludon,0.90%,2 - 2 - 0,50.00%
