,,Deck,Share,Score,Win %
,14,Umbreon Urshifu,14.43%,33 - 44 - 0,42.86%
,12,Dragapult Inteleon,12.37%,42 - 29 - 1,58.33%
,12,Suicune Ludicolo,12.37%,36 - 33 - 0,52.17%
,8,Leafeon Inteleon,8.25%,19 - 18 - 0,51.35%
,6,Calyrex Inteleon,6.19%,15 - 12 - 0,55.56%
,5,Sylveon,5.15%,16 - 13 - 0,55.17%
,5,Zacian,5.15%,19 - 13 - 0,59.38%
,5,Urshifu Inteleon,5.15%,18 - 13 - 0,58.06%
,4,Jolteon Inteleon,4.12%,10 - 11 - 0,47.62%
,4,Decidueye Inteleon,4.12%,12 - 10 - 0,54.55%
,3,Calyrex Alcremie,3.09%,3 - 6 - 0,33.33%
,3,Other,3.09%,4 - 12 - 0,25.00%
,2,Shadow Rider Calyrex,2.06%,4 - 5 - 0,44.44%
,2,Sableye Inteleon,2.06%,6 - 7 - 0,46.15%
,2,Duraludon,2.06%,3 - 11 - 0,21.43%
,1,Corviknight,1.03%,0 - 3 - 0,0.00%
,1,Suicune Inteleon,1.03%,4 - 3 - 0,57.14%
,1,Gardevoir Gallade,1.03%,4 - 2 - 1,57.14%
,1,Victini,1.03%,4 - 3 - 0,57.14%
,1,Calyrex Dragapult,1.03%,1 - 3 - 0,25.00%
,1,Centiskorch Control,1.03%,0 - 1 - 0,0.00%
,1,Vaporeon Inteleon,1.03%,1 - 3 - 0,25.00%
,1,Dhelmise,1.03%,0 - 2 - 0,0.00%
,1,Durant,1.03%,0 - 1 - 0,0.00%
,1,Dhelmise Rillaboom,1.03%,0 - 2 - 0,0.00%
