,,Deck,Share,Score,Win %
,4,Sylveon,21.05%,11 - 8 - 0,57.89%
,3,Dragapult Inteleon,15.79%,8 - 6 - 0,57.14%
,3,Shadow Rider Calyrex,15.79%,8 - 6 - 0,57.14%
,2,Umbreon Urshifu,10.53%,8 - 3 - 0,72.73%
,1,Suicune Ludicolo,5.26%,4 - 2 - 0,66.67%
,1,Eternatus,5.26%,5 - 2 - 0,71.43%
,1,Urshifu Blaziken,5.26%,1 - 2 - 0,33.33%
,1,Sableye Inteleon,5.26%,3 - 2 - 0,60.00%
,1,Leafeon Inteleon,5.26%,2 - 2 - 0,50.00%
,1,Jolteon Inteleon,5.26%,6 - 2 - 0,75.00%
,1,Calyrex Inteleon,5.26%,2 - 2 - 0,50.00%
