,,Deck,Share,Score,Win %
,11,Dragapult Inteleon,15.28%,41 - 30 - 0,57.75%
,7,Umbreon Urshifu,9.72%,22 - 20 - 0,52.38%
,7,Zacian,9.72%,18 - 19 - 1,47.37%
,5,Urshifu Inteleon,6.94%,9 - 13 - 0,40.91%
,5,Jolteon Inteleon,6.94%,10 - 16 - 0,38.46%
,5,Sylveon,6.94%,9 - 10 - 0,47.37%
,5,Eternatus,6.94%,8 - 14 - 0,36.36%
,4,Suicune Ludicolo,5.56%,7 - 7 - 1,46.67%
,4,Leafeon Inteleon,5.56%,11 - 7 - 0,61.11%
,2,Sableye Inteleon,2.78%,6 - 4 - 0,60.00%
,2,Rapid Strike Urshifu,2.78%,5 - 5 - 0,50.00%
,2,Victini,2.78%,8 - 6 - 0,57.14%
,2,Urshifu Moltres,2.78%,3 - 4 - 0,42.86%
,2,Other,2.78%,0 - 4 - 0,0.00%
,1,Duraludon,1.39%,0 - 2 - 0,0.00%
,1,Gardevoir,1.39%,2 - 3 - 0,40.00%
,1,Coalossal,1.39%,4 - 3 - 0,57.14%
,1,Decidueye Inteleon,1.39%,6 - 2 - 0,75.00%
,1,Calyrex Alcremie,1.39%,1 - 3 - 0,25.00%
,1,Urshifu Blaziken,1.39%,3 - 4 - 0,42.86%
,1,Calyrex Inteleon,1.39%,8 - 2 - 0,80.00%
,1,Alcremie,1.39%,1 - 3 - 0,25.00%
,1,Shadow Rider Calyrex,1.39%,4 - 3 - 0,57.14%
