,,Deck,Share,Score,Win %
,4,Umbreon Urshifu,13.79%,18 - 17 - 0,51.43%
,4,Shadow Rider Calyrex,13.79%,16 - 13 - 0,55.17%
,3,Zacian,10.34%,24 - 8 - 0,75.00%
,3,Other,10.34%,4 - 11 - 0,26.67%
,2,Suicune Ludicolo,6.90%,14 - 5 - 0,73.68%
,1,Leafeon Inteleon,3.45%,0 - 3 - 0,0.00%
,1,Urshifu Cinccino,3.45%,5 - 4 - 0,55.56%
,1,Glaceon Inteleon,3.45%,0 - 2 - 0,0.00%
,1,Dragapult Inteleon,3.45%,5 - 4 - 0,55.56%
,1,Calyrex Alcremie,3.45%,4 - 4 - 0,50.00%
,1,Eternatus,3.45%,10 - 4 - 0,71.43%
,1,Vaporeon Inteleon,3.45%,7 - 3 - 0,70.00%
,1,Urshifu Inteleon,3.45%,4 - 4 - 0,50.00%
,1,Orbeetle,3.45%,1 - 3 - 0,25.00%
,1,Victini,3.45%,1 - 4 - 0,20.00%
,1,Urshifu Blaziken,3.45%,1 - 3 - 0,25.00%
,1,Charizard,3.45%,2 - 3 - 0,40.00%
,1,Calyrex Inteleon,3.45%,0 - 3 - 0,0.00%
