,,Deck,Share,Score,Win %
,6,Dragapult Inteleon,24.00%,24 - 16 - 2,57.14%
,4,Umbreon Urshifu,16.00%,16 - 11 - 3,53.33%
,3,Zacian,12.00%,3 - 11 - 0,21.43%
,2,Urshifu Inteleon,8.00%,8 - 9 - 1,44.44%
,1,Calyrex Alcremie,4.00%,6 - 3 - 1,60.00%
,1,Decidueye Inteleon,4.00%,2 - 2 - 2,33.33%
,1,Togekiss,4.00%,3 - 4 - 0,42.86%
,1,Sylveon,4.00%,1 - 3 - 1,20.00%
,1,Gardevoir,4.00%,0 - 2 - 0,0.00%
,1,Sableye Inteleon,4.00%,1 - 1 - 0,50.00%
,1,Jolteon Inteleon,4.00%,6 - 5 - 1,50.00%
,1,Rayquaza Flaaffy,4.00%,3 - 4 - 0,42.86%
,1,Dracozolt,4.00%,3 - 4 - 0,42.86%
,1,Scizor,4.00%,5 - 4 - 1,50.00%
