,,Deck,Share,Score,Win %
,4,Jolteon Inteleon,16.67%,11 - 8 - 2,52.38%
,2,Shadow Rider Calyrex,8.33%,7 - 6 - 0,53.85%
,2,Urshifu Inteleon,8.33%,9 - 7 - 1,52.94%
,1,Sylveon,4.17%,9 - 2 - 0,81.82%
,1,Umbreon Urshifu,4.17%,0 - 2 - 0,0.00%
,1,Orbeetle,4.17%,6 - 5 - 0,54.55%
,1,Dragapult Inteleon,4.17%,4 - 4 - 0,50.00%
,1,Vikavolt,4.17%,4 - 6 - 0,40.00%
,1,Leafeon Inteleon,4.17%,1 - 3 - 0,25.00%
,1,Rayquaza Flaaffy,4.17%,2 - 2 - 2,33.33%
,1,Calyrex Alcremie,4.17%,1 - 5 - 0,16.67%
,1,Gardevoir Gallade,4.17%,2 - 2 - 2,33.33%
,1,Blissey,4.17%,0 - 2 - 0,0.00%
,1,Dragapult,4.17%,11 - 3 - 0,78.57%
,1,Suicune Inteleon,4.17%,8 - 5 - 0,61.54%
,1,Duraludon,4.17%,2 - 4 - 0,33.33%
,1,Victini,4.17%,0 - 3 - 0,0.00%
,1,Vaporeon,4.17%,2 - 4 - 0,33.33%
,1,Other,4.17%,3 - 3 - 1,42.86%
