,,Deck,Share,Score,Win %
,5,Suicune Ludicolo,12.82%,19 - 16 - 2,51.35%
,5,Dragapult Inteleon,12.82%,31 - 18 - 0,63.27%
,4,Leafeon Inteleon,10.26%,16 - 12 - 0,57.14%
,3,Jolteon Inteleon,7.69%,12 - 13 - 0,48.00%
,2,Urshifu Inteleon,5.13%,12 - 7 - 0,63.16%
,2,Umbreon Urshifu,5.13%,7 - 7 - 0,50.00%
,2,Weezing Inteleon,5.13%,6 - 6 - 0,50.00%
,2,Sylveon,5.13%,4 - 6 - 0,40.00%
,2,Calyrex Alcremie,5.13%,7 - 8 - 0,46.67%
,2,Zacian,5.13%,12 - 9 - 0,57.14%
,2,Calyrex Inteleon,5.13%,2 - 6 - 0,25.00%
,2,Duraludon,5.13%,8 - 5 - 2,53.33%
,1,Shadow Rider Calyrex,2.56%,0 - 3 - 0,0.00%
,1,Gardevoir Gallade,2.56%,1 - 2 - 2,20.00%
,1,Bronzong Box,2.56%,2 - 4 - 0,33.33%
,1,Donphan,2.56%,2 - 4 - 0,33.33%
,1,Corviknight,2.56%,0 - 2 - 0,0.00%
,1,Rayquaza Flaaffy,2.56%,1 - 3 - 0,25.00%
