,,Deck,Share,Score,Win %
,5,Urshifu Inteleon,12.82%,18 - 16 - 0,52.94%
,3,Umbreon Urshifu,7.69%,12 - 6 - 0,66.67%
,3,Sableye Inteleon,7.69%,14 - 10 - 1,56.00%
,2,Suicune Ludicolo,5.13%,1 - 4 - 0,20.00%
,2,Dragapult Inteleon,5.13%,11 - 7 - 0,61.11%
,2,Jolteon Inteleon,5.13%,1 - 7 - 0,12.50%
,2,Leafeon Inteleon,5.13%,10 - 9 - 0,52.63%
,2,Sylveon,5.13%,9 - 5 - 0,64.29%
,1,Rapid Strike Malamar,2.56%,7 - 3 - 0,70.00%
,1,Glaceon Inteleon,2.56%,0 - 1 - 0,0.00%
,1,Duraludon,2.56%,0 - 1 - 1,0.00%
,1,Calyrex Inteleon,2.56%,2 - 3 - 0,40.00%
,1,Rapid Strike Urshifu,2.56%,5 - 4 - 0,55.56%
,1,Zacian,2.56%,7 - 3 - 0,70.00%
,1,Shadow Rider Calyrex,2.56%,6 - 4 - 0,60.00%
,1,Dhelmise,2.56%,6 - 3 - 0,66.67%
,1,Inteleon,2.56%,5 - 4 - 0,55.56%
,1,Decidueye Inteleon,2.56%,4 - 4 - 0,50.00%
,1,Corviknight,2.56%,3 - 4 - 0,42.86%
,1,Urshifu Cinccino,2.56%,3 - 4 - 0,42.86%
,1,Charizard,2.56%,1 - 2 - 0,33.33%
,1,Urshifu Moltres,2.56%,1 - 2 - 0,33.33%
,1,Togekiss Inteleon,2.56%,1 - 2 - 0,33.33%
,1,Calyrex Alcremie,2.56%,4 - 4 - 0,50.00%
,1,Dracozolt,2.56%,1 - 1 - 0,50.00%
,1,Other,2.56%,0 - 1 - 0,0.00%
