,,Deck,Share,Score,Win %
,7,Other,16.67%,17 - 24 - 0,41.46%
,6,Urshifu Inteleon,14.29%,35 - 19 - 8,56.45%
,5,Dragapult Inteleon,11.90%,13 - 15 - 1,44.83%
,4,Leafeon Inteleon,9.52%,30 - 16 - 3,61.22%
,4,Zacian,9.52%,15 - 13 - 0,53.57%
,3,Umbreon Urshifu,7.14%,10 - 12 - 0,45.45%
,2,Jolteon Inteleon,4.76%,3 - 6 - 0,33.33%
,1,Orbeetle,2.38%,1 - 3 - 0,25.00%
,1,Suicune Ludicolo,2.38%,2 - 3 - 1,33.33%
,1,Umbreon,2.38%,2 - 3 - 0,40.00%
,1,Sableye Inteleon,2.38%,11 - 1 - 3,73.33%
,1,Shadow Rider Calyrex,2.38%,4 - 4 - 0,50.00%
,1,Victini,2.38%,5 - 2 - 0,71.43%
,1,Calyrex Inteleon,2.38%,8 - 2 - 2,66.67%
,1,Blissey,2.38%,0 - 3 - 0,0.00%
,1,Leafeon,2.38%,6 - 4 - 0,60.00%
,1,Bronzong Box,2.38%,0 - 3 - 0,0.00%
,1,Urshifu Moltres,2.38%,1 - 4 - 0,20.00%
