,,Deck,Share,Score,Win %
,2,Sylveon,9.09%,12 - 7 - 0,63.16%
,2,Duraludon,9.09%,4 - 4 - 1,44.44%
,2,Leafeon Inteleon,9.09%,10 - 6 - 0,62.50%
,2,Togekiss,9.09%,1 - 6 - 1,12.50%
,2,Inteleon,9.09%,2 - 6 - 0,25.00%
,1,Sableye Inteleon,4.55%,0 - 2 - 0,0.00%
,1,Zacian,4.55%,7 - 2 - 0,77.78%
,1,Eternatus,4.55%,6 - 4 - 0,60.00%
,1,Dragonite,4.55%,2 - 4 - 0,33.33%
,1,Jolteon Inteleon,4.55%,6 - 3 - 0,66.67%
,1,Suicune Inteleon,4.55%,8 - 3 - 0,72.73%
,1,Single Strike Urshifu,4.55%,2 - 4 - 0,33.33%
,1,Victini,4.55%,5 - 4 - 0,55.56%
,1,Weezing Inteleon,4.55%,1 - 4 - 0,20.00%
,1,Calyrex Inteleon,4.55%,2 - 4 - 0,33.33%
,1,Tornadus,4.55%,4 - 4 - 0,50.00%
,1,Other,4.55%,1 - 4 - 0,20.00%
