,,Deck,Share,Score,Win %
,2,Dragapult Inteleon,9.09%,14 - 8 - 2,58.33%
,2,Umbreon Urshifu,9.09%,14 - 4 - 1,73.68%
,2,Decidueye Inteleon,9.09%,1 - 7 - 0,12.50%
,2,Other,9.09%,5 - 7 - 0,41.67%
,1,Charizard,4.55%,1 - 4 - 0,20.00%
,1,Dracozolt,4.55%,3 - 4 - 0,42.86%
,1,Vikavolt,4.55%,6 - 3 - 0,66.67%
,1,Suicune Ludicolo,4.55%,2 - 4 - 0,33.33%
,1,Leafeon Inteleon,4.55%,3 - 3 - 1,42.86%
,1,Eternatus,4.55%,2 - 4 - 0,33.33%
,1,Sylveon,4.55%,8 - 4 - 0,66.67%
,1,Shadow Rider Calyrex,4.55%,0 - 3 - 0,0.00%
,1,Calyrex Inteleon,4.55%,6 - 2 - 1,66.67%
,1,Crobat,4.55%,2 - 4 - 0,33.33%
,1,Regidrago Cherrim,4.55%,4 - 4 - 0,50.00%
,1,Urshifu Moltres,4.55%,3 - 4 - 0,42.86%
,1,Corviknight,4.55%,1 - 2 - 1,25.00%
,1,Zacian,4.55%,3 - 4 - 0,42.86%
