,,Deck,Share,Score,Win %
,6,Suicune Ludicolo,15.00%,32 - 16 - 7,58.18%
,5,Urshifu Inteleon,12.50%,26 - 19 - 2,55.32%
,5,Other,12.50%,2 - 14 - 2,11.11%
,4,Jolteon Inteleon,10.00%,5 - 11 - 0,31.25%
,3,Dragapult Inteleon,7.50%,7 - 11 - 0,38.89%
,2,Umbreon Urshifu,5.00%,3 - 5 - 0,37.50%
,2,Calyrex Alcremie,5.00%,9 - 8 - 0,52.94%
,2,Shadow Rider Calyrex,5.00%,10 - 7 - 0,58.82%
,2,Sableye Inteleon,5.00%,14 - 7 - 2,60.87%
,1,Calyrex Inteleon,2.50%,5 - 4 - 1,50.00%
,1,Inteleon,2.50%,4 - 4 - 0,50.00%
,1,Metagross,2.50%,0 - 3 - 1,0.00%
,1,Urshifu Blaziken,2.50%,2 - 4 - 0,33.33%
,1,Sylveon,2.50%,8 - 4 - 1,61.54%
,1,Bronzong Box,2.50%,0 - 3 - 0,0.00%
,1,Weezing Inteleon,2.50%,1 - 3 - 0,25.00%
,1,Decidueye Inteleon,2.50%,0 - 2 - 0,0.00%
,1,Dracozolt,2.50%,3 - 4 - 0,42.86%
