,,Deck,Share,Score,Win %
,5,Zacian,14.71%,18 - 18 - 0,50.00%
,3,Dragapult Inteleon,8.82%,7 - 12 - 0,36.84%
,3,Urshifu Inteleon,8.82%,11 - 11 - 1,47.83%
,2,Sylveon,5.88%,18 - 10 - 0,64.29%
,2,Urshifu Blaziken,5.88%,3 - 6 - 0,33.33%
,2,Dragapult,5.88%,7 - 7 - 0,50.00%
,2,Umbreon Urshifu,5.88%,2 - 8 - 0,20.00%
,2,Jolteon Inteleon,5.88%,13 - 9 - 0,59.09%
,2,Shadow Rider Calyrex,5.88%,16 - 8 - 0,66.67%
,1,Decidueye Inteleon,2.94%,1 - 4 - 0,20.00%
,1,Lapras,2.94%,1 - 4 - 0,20.00%
,1,Inteleon,2.94%,0 - 3 - 0,0.00%
,1,Leafeon Inteleon,2.94%,0 - 4 - 0,0.00%
,1,Sableye Inteleon,2.94%,11 - 3 - 0,78.57%
,1,Maractus Cherrim,2.94%,1 - 4 - 0,20.00%
,1,Duraludon,2.94%,0 - 2 - 0,0.00%
,1,Calyrex Alcremie,2.94%,4 - 4 - 0,50.00%
,1,Scizor,2.94%,3 - 3 - 1,42.86%
,1,Eternatus,2.94%,10 - 3 - 0,76.92%
,1,Other,2.94%,1 - 5 - 0,16.67%
