,,Deck,Share,Score,Win %
,5,Urshifu Inteleon,12.20%,8 - 14 - 0,36.36%
,5,Umbreon Urshifu,12.20%,15 - 16 - 0,48.39%
,5,Dragapult Inteleon,12.20%,22 - 18 - 0,55.00%
,3,Zacian,7.32%,16 - 9 - 0,64.00%
,3,Calyrex Inteleon,7.32%,14 - 11 - 0,56.00%
,3,Leafeon Inteleon,7.32%,9 - 6 - 0,60.00%
,2,Calyrex Alcremie,4.88%,13 - 6 - 1,65.00%
,2,Duraludon,4.88%,1 - 7 - 0,12.50%
,2,Other,4.88%,1 - 8 - 0,11.11%
,1,Eternatus,2.44%,3 - 4 - 0,42.86%
,1,Inteleon,2.44%,2 - 4 - 1,28.57%
,1,Jolteon,2.44%,2 - 2 - 0,50.00%
,1,Rapid Strike Malamar,2.44%,4 - 4 - 0,50.00%
,1,Suicune Ludicolo,2.44%,9 - 2 - 1,75.00%
,1,Dracozolt,2.44%,1 - 2 - 0,33.33%
,1,Jolteon Inteleon,2.44%,4 - 4 - 0,50.00%
,1,Shadow Rider Calyrex,2.44%,0 - 2 - 0,0.00%
,1,Victini,2.44%,2 - 4 - 0,33.33%
,1,Vaporeon Inteleon,2.44%,5 - 4 - 0,55.56%
,1,Weezing Inteleon,2.44%,3 - 3 - 1,42.86%
