,Deck,Share,Win %,Wins,Loss,Tie,Player Count
0,Umbreon Urshifu,0.16093690970910465,0.4755398854120758,1079,1134,56,426
1,Calyrex Inteleon,0.08273517189270872,0.5094806265457543,618,567,28,219
2,Suicune Ludicolo,0.08915753683415187,0.5331369661266568,724,593,41,236
3,Leafeon Inteleon,0.11333585190782017,0.5076080340839927,834,781,28,300
4,Jolteon Inteleon,0.08500188893086513,0.5113369820172009,654,595,30,225
5,Dragapult Inteleon,0.19115980355119003,0.5266575529733425,1541,1326,59,506
6,Urshifu Inteleon,0.11938043067623726,0.514829322887521,920,816,51,316
7,Sylveon,0.0831129580657348,0.5279937791601866,679,576,31,220
8,Vaporeon Inteleon,0.005289006422364941,0.4418604651162791,38,46,2,14
9,Calyrex Alcremie,0.03664525878352852,0.47808764940239046,240,252,10,97
10,Rapid Strike Urshifu,0.00831129580657348,0.5208333333333334,50,45,1,22
11,Sableye Inteleon,0.024933887419720437,0.5058139534883721,174,160,10,66
