,Deck,Share,Win %,Wins,Loss,Tie,Player Count
0,Umbreon Urshifu,0.16093690970910465,0.4755398854120758,1079,1134,56,426
1,Calyrex Inteleon,0.08273517189270872,0.5094806265457543,618,567,28,219
2,Suicune Ludicolo,0.08915753683415187,0.5331369661266568,724,593,41,236
3,Leafeon Inteleon,0.11333585190782017,0.5076080340839927,834,781,28,300
4,Jolteon Inteleon,0.08500188893086513,0.5113369820172009,654,595,30,225
5,Dragapult Inteleon,0.19115980355119003,0.5266575529733425,1541,1326,59,506
6,Urshifu Inteleon,0.11938043067623726,0.514829322887521,920,816,51,316
7,Sylveon,0.0831129580657348,0.5279937791601866,679,576,31,220
8,Vaporeon Inteleon,0.005289006422364941,0.4418604651162791,38,46,2,14
9,Calyrex Alcremie,0.03664525878352852,0.47808764940239046,240,252,10,97
10,Rapid Strike Urshifu,0.00831129580657348,0.5208333333333334,50,45,1,22
11,Sableye Inteleon,0.024933887419720437,0.5058139534883721,174,160,10,66
0,Urshifu Inteleon,0.12195121951219512,0.36363636363636365,8,14,0,5
1,Umbreon Urshifu,0.12195121951219512,0.4838709677419355,15,16,0,5
2,Dragapult Inteleon,0.12195121951219512,0.55,22,18,0,5
3,Zacian,0.07317073170731707,0.64,16,9,0,3
4,Calyrex Inteleon,0.07317073170731707,0.56,14,11,0,3
5,Leafeon Inteleon,0.07317073170731707,0.6,9,6,0,3
6,Calyrex Alcremie,0.04878048780487805,0.65,13,6,1,2
7,Duraludon,0.04878048780487805,0.125,1,7,0,2
8,Other,0.04878048780487805,0.1111111111111111,1,8,0,2
9,Eternatus,0.024390243902439025,0.42857142857142855,3,4,0,1
10,Inteleon,0.024390243902439025,0.2857142857142857,2,4,1,1
11,Jolteon,0.024390243902439025,0.5,2,2,0,1
12,Rapid Strike Malamar,0.024390243902439025,0.5,4,4,0,1
13,Suicune Ludicolo,0.024390243902439025,0.75,9,2,1,1
14,Dracozolt,0.024390243902439025,0.3333333333333333,1,2,0,1
15,Jolteon Inteleon,0.024390243902439025,0.5,4,4,0,1
16,Shadow Rider Calyrex,0.024390243902439025,0.0,0,2,0,1
17,Victini,0.024390243902439025,0.3333333333333333,2,4,0,1
18,Vaporeon Inteleon,0.024390243902439025,0.5555555555555556,5,4,0,1
19,Weezing Inteleon,0.024390243902439025,0.42857142857142855,3,3,1,1
