,,Deck,Share,Score,Win %
,32,Zacian ADP,14.95%,91 - 97 - 0,48.40%
,25,Pikarom,11.68%,76 - 75 - 0,50.33%
,23,Eternatus,10.75%,76 - 78 - 0,49.35%
,20,Zacian Lucmetal,9.35%,65 - 55 - 2,53.28%
,19,Blacephalon,8.88%,53 - 53 - 1,49.53%
,15,Centiskorch,7.01%,38 - 39 - 0,49.35%
,11,Reshizard,5.14%,33 - 30 - 0,52.38%
,11,Other,5.14%,20 - 32 - 0,38.46%
,7,Rowegg Rillaboom,3.27%,23 - 15 - 0,60.53%
,4,Galarian Darmanitan,1.87%,7 - 15 - 0,31.82%
,4,Dragapult,1.87%,13 - 8 - 0,61.90%
,4,Lightning Mewtwo,1.87%,11 - 11 - 0,50.00%
,4,Welder Mewtwo,1.87%,9 - 11 - 0,45.00%
,4,Mewtwo Mew,1.87%,10 - 12 - 0,45.45%
,4,Decidueye Obstagoon,1.87%,13 - 12 - 1,50.00%
,3,Mad Party,1.40%,8 - 9 - 0,47.06%
,3,Coalossal,1.40%,9 - 13 - 0,40.91%
,2,Orbeetle,0.93%,2 - 4 - 0,33.33%
,2,Coalossal,0.93%,5 - 6 - 0,45.45%
,2,Inteleon Frosmoth,0.93%,3 - 4 - 0,42.86%
,2,Control,0.93%,1 - 3 - 1,20.00%
,2,Flygon,0.93%,7 - 5 - 0,58.33%
,1,Whimsicott,0.47%,5 - 3 - 0,62.50%
,1,Zacian,0.47%,2 - 5 - 0,28.57%
,1,Garchomp Giratina,0.47%,2 - 2 - 1,40.00%
,1,Charizard Braixen,0.47%,2 - 2 - 0,50.00%
,1,Pikachu,0.47%,3 - 5 - 0,37.50%
,1,Centiskorch Magneton,0.47%,1 - 7 - 0,12.50%
,1,Spiritomb,0.47%,1 - 2 - 0,33.33%
,1,Malamar,0.47%,5 - 3 - 0,62.50%
,1,Water Mewtwo,0.47%,1 - 7 - 0,12.50%
,1,Charizard,0.47%,4 - 4 - 0,50.00%
,1,Green's Reshizard,0.47%,3 - 2 - 0,60.00%
